DATE,DEXKOUS
2017-01-02,
2017-01-03,1207.23
2017-01-04,1198.07
2017-01-05,1182.46
2017-01-06,1198.85
2017-01-09,1200.51
2017-01-10,1196.96
2017-01-11,1197.59
2017-01-12,1170.93
2017-01-13,1177.81
2017-01-16,
2017-01-17,1161.61
2017-01-18,1170.73
2017-01-19,1177.03
2017-01-20,
2017-01-23,1165.82
2017-01-24,1165.25
2017-01-25,1164.13
2017-01-26,1169.61
2017-01-27,1175.73
2017-01-30,1171.27
2017-01-31,1151.45
2017-02-01,1154.45
2017-02-02,1139.9
2017-02-03,1134.65
2017-02-06,1134.87
2017-02-07,1142.89
2017-02-08,1143.25
2017-02-09,1149.88
2017-02-10,1146.78
2017-02-13,1150.16
2017-02-14,1139.33
2017-02-15,1136.46
2017-02-16,1140.57
2017-02-17,1150.73
2017-02-20,
2017-02-21,1143.63
2017-02-22,1142.15
2017-02-23,1129.84
2017-02-24,1130.41
2017-02-27,1130.14
2017-02-28,1129.17
2017-03-01,1140.75
2017-03-02,1146.9
2017-03-03,1156.77
2017-03-06,1154.36
2017-03-07,1149.87
2017-03-08,1154.69
2017-03-09,1158.12
2017-03-10,1150.37
2017-03-13,1150.37
2017-03-14,1148.54
2017-03-15,1144.16
2017-03-16,1148.54
2017-03-17,1128.67
2017-03-20,1112.29
2017-03-21,1118.23
2017-03-22,1117.91
2017-03-23,1117.91
2017-03-24,1116.69
2017-03-27,1108.3
2017-03-28,1111.51
2017-03-29,1112.28
2017-03-30,1114.11
2017-03-31,1117.48
2017-04-03,1117.65
2017-04-04,1122.61
2017-04-05,1126.58
2017-04-06,1131.21
2017-04-07,1133.89
2017-04-10,1141.24
2017-04-11,1147.77
2017-04-12,1138.83
2017-04-13,1133.32
2017-04-14,1136.67
2017-04-17,1134.25
2017-04-18,1143.89
2017-04-19,1142.37
2017-04-20,1136.29
2017-04-21,1134.22
2017-04-24,1132.19
2017-04-25,1126.54
2017-04-26,1133.17
2017-04-27,1133.83
2017-04-28,1136.99
2017-05-01,1134.87
2017-05-02,1129.16
2017-05-03,1131.25
2017-05-04,1134.2
2017-05-05,1136.49
2017-05-08,1132.91
2017-05-09,1134.84
2017-05-10,1132.13
2017-05-11,1127.51
2017-05-12,1121.68
2017-05-15,1115.01
2017-05-16,1115.0
2017-05-17,1118.67
2017-05-18,1129.17
2017-05-19,1116.71
2017-05-22,1114.71
2017-05-23,1125.02
2017-05-24,1122.83
2017-05-25,1119.71
2017-05-26,1118.67
2017-05-29,
2017-05-30,1122.87
2017-05-31,1119.58
2017-06-01,1120.85
2017-06-02,1117.49
2017-06-05,1118.44
2017-06-06,1118.53
2017-06-07,1124.16
2017-06-08,1122.73
2017-06-09,1123.51
2017-06-12,1130.55
2017-06-13,1127.79
2017-06-14,1116.45
2017-06-15,1129.91
2017-06-16,1133.2
2017-06-19,1134.69
2017-06-20,1141.33
2017-06-21,1143.01
2017-06-22,1143.01
2017-06-23,1132.99
2017-06-26,1132.48
2017-06-27,1137.77
2017-06-28,1141.91
2017-06-29,1144.07
2017-06-30,1143.75
2017-07-03,1149.26
2017-07-04,
2017-07-05,1153.06
2017-07-06,1156.55
2017-07-07,1153.85
2017-07-10,1149.35
2017-07-11,1149.83
2017-07-12,1138.32
2017-07-13,1137.22
2017-07-14,1127.79
2017-07-17,1127.74
2017-07-18,1123.69
2017-07-19,1122.92
2017-07-20,1120.77
2017-07-21,1117.47
2017-07-24,1113.82
2017-07-25,1117.02
2017-07-26,1117.76
2017-07-27,1115.15
2017-07-28,1121.49
2017-07-31,1121.86
2017-08-01,1121.09
2017-08-02,1121.55
2017-08-03,1127.73
2017-08-04,1128.02
2017-08-07,1127.39
2017-08-08,1125.6
2017-08-09,1138.69
2017-08-10,1144.36
2017-08-11,1141.57
2017-08-14,1137.22
2017-08-15,1135.47
2017-08-16,1137.75
2017-08-17,1138.23
2017-08-18,1139.83
2017-08-21,1137.14
2017-08-22,1131.79
2017-08-23,1128.59
2017-08-24,1127.8
2017-08-25,1121.73
